序号,异常行为分类,,,,,可选风险等级,排查阶段,,核实阶段
,员工异常行为分类,员工异常行为小类,员工异常行为标签,备注说明,分类,,个人排查,部门排查,
1,违法犯罪类,黄赌毒类,直接、间接或涉嫌参与嫖娼等色情类活动,,违规行为/可疑/异常行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
2,违法犯罪类,黄赌毒类,直接、间接或涉嫌参与赌博类活动,包括参与赌博、网络赌球、购买私彩等各种形式的赌博类行为,违规行为/可疑/异常行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
3,违法犯罪类,黄赌毒类,直接、间接或涉嫌参与毒品相关活动,,违规行为/可疑/异常行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
4,违法犯罪类,法律程序及信用类,被公安、司法机关依法传唤、询问或调查取证,包含原因、情节尚不明的,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
5,违法犯罪类,法律程序及信用类,涉嫌或直接卷入刑事案件,,违规行为/可疑/异常行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
6,违法犯罪类,法律程序及信用类,涉嫌或直接卷入民事诉讼、经济纠纷等法律程序,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,通过“中国裁判文书网”和“中国执行信息公开网”查看诉讼记录、执行案件信息,被查询人提供无官司证明
7,违法犯罪类,法律程序及信用类,被监管机构和人行通报批评或列入黑/灰名单的,,违规行为,高/较高,个人异常行为事项报送及签署授权书,定期获取人行通报批评名单、黑名单、灰名单,定期获取人行通报批评名单、黑名单、灰名单
8,违法犯罪类,公共安全秩序类,被公安机关给予行政拘留等各类行政处罚,,违规行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
9,违法犯罪类,公共安全秩序类,参与“传销”等违法活动,,违规行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
10,违法犯罪类,公共安全秩序类,酒驾、醉驾,,违规行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
11,违法犯罪类,公共安全秩序类,直接、变相或涉嫌参与黑社会、邪教、恐怖组织、分裂主义组织等非法组织及活动,,违规行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
12,违法犯罪类,公共安全秩序类,直接或间接参与恐怖融资等行为,,违规行为,高/较高,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
13,违法犯罪类,经济金融类,直接、间接或涉嫌参与“洗钱”等违法活动,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,根据《公安机关办理犯罪记录查询工作规定》，单位可查询本单位在职人员或者拟招录人员的犯罪记录。,被查询人提供个人《有无违法犯罪记录证明》来证明。
14,违法犯罪类,经济金融类,直接、间接或涉嫌参与非法集资,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,通过法院“被执行人信息平台”和“中国执行信息公开网”查看失信人名单,被查询人可提供个人征信报告
15,违法犯罪类,经济金融类,直接、间接或涉嫌参与违规担保,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,通过法院“被执行人信息平台”和“中国执行信息公开网”查看失信人名单,被查询人可提供个人征信报告
16,违法犯罪类,经济金融类,直接、间接或涉嫌参与高利放贷,,违规行为/可疑/异常行为,高/较高/中,个人异常行为事项报送及签署授权书,通过法院“被执行人信息平台”和“中国执行信息公开网”查看失信人名单,被查询人可提供个人征信报告
